w_tet1,w_vp64,objective
0.7739560485559633,0.4388784397520523,0.9315279612415733
0.8585979199113825,0.6973680290593639,0.7176176703848262
0.09417734788764953,0.9756223516367559,0.38369649534583794
0.761139701990353,0.7860643052769538,0.6919903704113728
0.12811363267554587,0.45038593789556713,0.5850848117071776
0.37079802423258124,0.9267649888486018,0.5079262427484894
0.6438651200806645,0.82276161327083,0.6671677142158546
0.44341419882733113,0.2272387217847769,0.8140002570065642
0.5545847870158348,0.06381725610417532,0.7257447456320999
0.8276311719925821,0.6316643991220648,0.7725919848362712
0.7580877400853738,0.35452596812986836,1.0462293401376475
0.9706980243949033,0.8931211213221977,0.5538697233737037
0.7783834970737619,0.19463870785196757,1.0488634732021715
0.4667210037270342,0.04380376578722878,0.5907614695262303
0.15428949206754783,0.6830489532424546,0.5638133830452536
0.7447621559078171,0.96750973243421,0.5892876912323387
0.32582535813815194,0.3704597060348689,0.7277517496571791
0.4695558112758079,0.1894713590842857,0.8330757032768703
0.12992150533547164,0.47570492622593374,0.5856679279454149
0.2269093490508841,0.6698139946825103,0.6000531431319646
0.43715191887233074,0.8326781960578374,0.584505703219851
0.7002651020022491,0.31236664138204107,0.9954064684932803
0.8322598013952011,0.8047643574968019,0.6563232422898582
0.38747837903017446,0.2883281039302441,0.7732494601659287
0.6824955039749755,0.1397524836093098,0.9851022527677711
