gene_symbol,control_organoid,edited_organoid,fold_change_edited_vs_control
ATP10A,0.0029044071221113778,0.008531452621999773,2.9374162310267913
MAGEL2,0.0,0.13809577977476964,0.13809577977476964
MKRN3,0.0002525571410531633,0.010806506654533045,42.78836309862359
NDN,0.0,0.00011375270162666363,0.00011375270162666363
NPAP1,0.0,0.007621431008986463,0.007621431008986463
SNHG14,0.03396893547165046,5.371743828915937,158.13694937243608
SNRPN,0.00037883571157974494,2.0067114093959733,5297.049217002237
UBE3A,0.6845561308245991,0.7174382891593676,1.048034276305669
